sentence,target_logits,concept_logits,concept_gradient,label,concept_label
yah christian island republic shall not have queers or witches on it if we find any death,[[0.52831143 0.47168854]],[[0.03099022 0.6207125  0.24133557]],[[0.01363584 0.2952411  0.00817032]],1,[[0. 0. 1.]]
on the left jews putting a sad face for the pictures that they would publish around the world on the right the same jews celebrating that their enemies were killing each other and soon israel would be created without shedding a single drop of jewish blood,[[0.02734926 0.97265077]],[[0.03612984 0.9964495  0.23062873]],[[ 0.29553047 -0.06080537 -0.01712145]],0,[[0. 1. 0.]]
no no it every topic dude every topic that gets some traction here they come they are in every room spouting it the jews and the arabs then the blacks it what they came to do,[[0.0236668 0.9763332]],[[0.74481833 0.9371732  0.48194233]],[[ 0.18837085 -0.03571026 -0.00985106]],0,[[1. 1. 0.]]
how did these jews make such an accurate representation of the pro white movement it just like us,[[0.41980985 0.5801902 ]],[[0.23653309 0.95605713 0.24429928]],[[ 0.21527657 -0.05356153 -0.01814213]],0,[[1. 1. 0.]]
imagine if someone wrote a <number> page racial history of jews white interactions in europe and casually noticed that millions of jews had been baptized and became faithful productive citizens that reversed is what i hold e michael jones has done teamwhite,[[0.8924169  0.10758311]],[[0.8019143  0.66766214 0.1659422 ]],[[-0.00979029  0.26923266  0.01716552]],1,[[1. 1. 0.]]
i go to public beaches and see beautiful young women it tiny swimsuits and yet somehow i have managed to never rape anyone that the difference between americans and islamists apparently,[[0.8090215  0.19097847]],[[0.06740689 0.9033719  0.41221523]],[[0.01938778 0.2958484  0.01381659]],1,[[0. 1. 1.]]
we have a very low quality of homo these days and that is because they are allowed to gallivant in plein air the closet makes the queer,[[0.7290949  0.27090508]],[[0.0512709  0.04486317 0.78599316]],[[-0.01451658  0.29424205  0.02805995]],1,[[0. 0. 0.]]
it more it news community looks into the lives of people we d otherwise not know let get real too not so many ghetto phone dindus and skanks,[[0.01522849 0.98477155]],[[0.4310835  0.34822157 0.23402862]],[[ 0.15789048 -0.04020839 -0.0348909 ]],0,[[1. 0. 1.]]
saudi arabia is about <number> afro arab these are the original african arabs who were out of african migrants from the earliest days of human kind into arabia and stayed there and are indeed a black people saracens original arabs original berbers and semites are dark african peoples you know this,[[0.2773724 0.7226276]],[[0.6531525  0.5868222  0.07442591]],[[ 0.22046514 -0.0638533   0.00536446]],0,[[1. 1. 0.]]
once racemixing became alluring purely because about <number> of japanese women are not sluts white nationalism became seriously dis alluring i hear <number> of rural russian women are not sluts though so that makes me a russian nationalist woohoo,[[0.79664683 0.20335323]],[[0.4575366  0.04058298 0.9714409 ]],[[0.0016196  0.2961488  0.01798236]],1,[[1. 0. 1.]]
fox news terrorists and immigrant criminal gangs working together,[[0.22250137 0.77749866]],[[0.15492184 0.04807829 0.25803852]],[[ 0.23025405 -0.07089572 -0.00974862]],0,[[0. 0. 1.]]
the blm leadership have been out disrupting lgbt events the black militant muscle panthers guerilla family et al who were murdering whites cops are who knows where the street thugs burning and looting are probably in and out of jail or being moved to prey on the white suburbs,[[0.55198646 0.4480135 ]],[[0.6434213  0.05678475 0.5678898 ]],[[0.00701565 0.23835705 0.01202036]],1,[[1. 0. 0.]]
i will stop caring for the arabs when i see militias cleaning house in dearborn michigan,[[0.2495804 0.7504196]],[[0.08066079 0.5460245  0.4562169 ]],[[ 0.23243625 -0.07693761 -0.02211249]],0,[[0. 1. 0.]]
it called hijrah islamic migration for the sole purpose of spreading islam,[[0.16604756 0.8339524 ]],[[0.03457732 0.9889305  0.12486639]],[[ 0.326907   -0.04628139 -0.04150338]],0,[[0. 1. 1.]]
