sentence,target_logits,concept_logits,concept_gradient,label,concept_label
mysterium tremens why do new yorkers continue to support insane kike djuggie schooma,[[0.00560981 0.9943902 ]],[[0.2177399  0.9940696  0.09675886]],[[ 0.00394059  0.27282327 -0.01817905]],1,[[0. 1. 0.]]
those are called niglets,[[0.00714119 0.99285877]],[[0.9357358  0.02561652 0.6803022 ]],[[0.09553757 0.16445121 0.02198668]],1,[[1. 0. 0.]]
another bbc poster paki stani,[[0.93590456 0.06409549]],[[0.07461258 0.01556021 0.3866693 ]],[[ 0.23751175 -0.09547471 -0.02162077]],0,[[0. 0. 0.]]
tfw you are vice provost of diversity nigger equity vp of difference sameness at the same time <happy>,[[0.02286861 0.9771314 ]],[[0.990604   0.03410406 0.07758755]],[[ 0.19100411  0.1712509  -0.08133904]],1,[[1. 0. 0.]]
niggas love staying in contact with they old bitches,[[0.98804575 0.01195424]],[[0.42989525 0.00331072 0.7279888 ]],[[ 0.25464714 -0.03083029 -0.01175432]],0,[[0. 0. 1.]]
i am happy once the last kike hangs from a tree,[[0.00364373 0.99635625]],[[0.01605679 0.9940357  0.10989672]],[[0.06993104 0.29821587 0.00873124]],1,[[0. 1. 0.]]
<user> <user> speaking in tongues is not bullshit it cured world hunger eradicated disease and saved millions of kids from being raped and murdered oh wait,[[0.9923959  0.00760414]],[[0.01861434 0.02582035 0.16228452]],[[ 0.16151476 -0.05141235 -0.03656592]],0,[[0. 0. 0.]]
<user> <user> my son died of dementia at the age of three and i am currently amidst killing my self so a stanky ass booty pic from your ching chong ass would make my life so much better rn,[[0.78471845 0.21528153]],[[0.18279009 0.03270906 0.09524999]],[[ 0.22058077 -0.08067452 -0.03795144]],0,[[0. 0. 0.]]
<user> i fucking hate you,[[0.65468794 0.34531203]],[[0.04837747 0.01802858 0.22882767]],[[ 0.242458   -0.10566685 -0.02817165]],0,[[0. 0. 0.]]
muslim chaplain of the canadian army wtf why i am sure our muzzie friends and allies have a priest in their army hell i doubt there is one in the whole country fk islam can fam speak freely,[[0.00517206 0.9948279 ]],[[0.11573109 0.99434716 0.10079589]],[[-0.0494474   0.34112266 -0.07726358]],1,[[0. 1. 0.]]
i fucking hate wifi,[[0.8373759 0.1626241]],[[0.07319526 0.01936585 0.20938559]],[[ 0.23462658 -0.09420738 -0.02808162]],0,[[0. 0. 0.]]
kashmir lockdown should stay for <number> years just like kashmir pundits stayed refugee for <number> years that would be a perfect poetic justice,[[0.9642882  0.03571181]],[[0.03416324 0.29947758 0.12910959]],[[ 0.17558742 -0.03787993 -0.05515098]],0,[[0. 1. 0.]]
on god america be like i hate niggers but i will let a entity from the dark realm chill upstairs,[[0.02584497 0.97415507]],[[0.8139009  0.15481107 0.2589792 ]],[[ 0.07376474  0.14568885 -0.03609989]],1,[[1. 0. 0.]]
why jews are profiting from the us importing moslem refugees,[[0.02612841 0.9738715 ]],[[0.02925414 0.994729   0.07774103]],[[0.1310083 0.4683015 0.0475907]],1,[[0. 1. 0.]]
this coon is full of shit,[[0.00461626 0.9953837 ]],[[0.374707   0.3334291  0.39120692]],[[0.02411093 0.15250984 0.00253447]],1,[[1. 0. 0.]]
we are being taxed with zakat so they can live lavishly fuck their zakat time to enforce the moslem ban that been around since the <number>,[[0.00525138 0.99474865]],[[0.01342463 0.9931942  0.07956534]],[[0.16740768 0.25259528 0.06384242]],1,[[0. 1. 0.]]
always thought that nigger was a faggot,[[0.00540467 0.99459535]],[[0.99087924 0.03160397 0.45468584]],[[ 0.15027116  0.15033233 -0.00292771]],1,[[1. 0. 0.]]
i wana hoe out every time i hear thotiana,[[0.98938215 0.01061788]],[[0.09118403 0.0200048  0.6822829 ]],[[ 0.05412006 -0.15040995  0.03935416]],0,[[0. 0. 1.]]
lol nice boomerposting hey does kike jism taste better on the shabbat you d know after all lol gimme more,[[0.01308692 0.9869131 ]],[[0.03407494 0.99497294 0.10950137]],[[0.07682505 0.3952921  0.03451917]],1,[[0. 1. 0.]]
<user> your a faggot fucker coon boy suck my horse cock,[[0.03969127 0.96030873]],[[0.3848869  0.12334871 0.7340267 ]],[[0.02061567 0.23566063 0.00971213]],1,[[1. 0. 0.]]
the reply i and everyone else who complained got from edinburgh uni regarding their resisting white people tax payer funded globohomo propaganda conference was basically yes but racism so no currently penning my reply,[[0.9897497  0.01025028]],[[0.55078256 0.10261939 0.04884557]],[[ 0.21814194 -0.01206475 -0.03292629]],0,[[0. 0. 0.]]
snow nigger does not want to be blamed for slavery and the sins of past white men but wants to take credit for everything else low iq bottom feeder trailer trash,[[0.00324786 0.99675214]],[[0.9881743  0.12589535 0.46057728]],[[0.1229265  0.15931228 0.00231825]],1,[[1. 0. 0.]]
ooh my car so retarded this bitch just farted,[[0.9707775  0.02922243]],[[0.03281697 0.00660626 0.58529097]],[[ 0.23087512 -0.10601138 -0.02080612]],0,[[0. 0. 0.]]
dressing your characters in big bud press is now tv shorthand for non denominational queer,[[0.9835882  0.01641174]],[[0.04633357 0.04651913 0.30393136]],[[ 0.21153936 -0.05808806 -0.03848948]],0,[[0. 0. 0.]]
teacher asks class where is pakistan little johnny replies outside with paki steve,[[0.89804494 0.10195508]],[[0.03811252 0.32009137 0.09300506]],[[ 0.11451744 -0.0748872  -0.09458689]],0,[[0. 1. 0.]]
<user> would have pressed that bitch and beat the faggot out of him,[[0.06444865 0.93555135]],[[0.6874954  0.00659254 0.55542344]],[[0.01825106 0.32104146 0.01332704]],1,[[0. 0. 1.]]
pope is asian you fucking dumb nigger,[[0.0047017 0.9952983]],[[0.9884165  0.02676599 0.45812646]],[[0.11565723 0.20838873 0.00219262]],1,[[1. 0. 0.]]
<user> <user> i am not defending biden he is a fucking relic but to suggest his position is zero taxes on millionaires is dishonest,[[0.9926277  0.00737231]],[[0.02114869 0.02719584 0.05918569]],[[ 0.11030088 -0.09241816 -0.09480062]],0,[[0. 0. 0.]]
oh snap do not they also have a large muzzie population there,[[0.0109829 0.9890171]],[[0.17174251 0.90699214 0.02859964]],[[0.041601   0.23960437 0.01062558]],1,[[0. 1. 0.]]
<user> my guess is that if she did get raped she would not murder the innocent baby many do not,[[0.8186749 0.1813251]],[[0.02847254 0.0437904  0.8403558 ]],[[ 0.19974643 -0.10919853  0.0106216 ]],0,[[0. 0. 1.]]
<user> <user> amen i will put my <number> cents in and help as well the intersection of veganism women hip hop music and islam in sneaker culture,[[0.9946122  0.00538781]],[[0.01530467 0.53791964 0.08257352]],[[ 0.22011955  0.01327657 -0.03165063]],0,[[0. 0. 0.]]
filthy kike matt drudge throws in his two sheckels,[[0.003022   0.99697804]],[[0.1138542  0.99150145 0.19540067]],[[-0.02411531  0.24039716 -0.02698393]],1,[[0. 1. 0.]]
if we are being brutally honest here i am not pro because <user> is a scumbag piece of shit aziz anzari type arrogant entitled shitskin and i would not piss on him to put out a fire so mr torba gets nothing from me until he gone,[[0.0102479  0.98975205]],[[0.28359285 0.56699675 0.54043263]],[[0.03207323 0.179469   0.00296491]],1,[[1. 0. 0.]]
lol gives a whole new meaning to bread basket lmao fuggen kike demon,[[0.00357306 0.9964269 ]],[[0.05125607 0.99213684 0.190722  ]],[[0.01809867 0.23200853 0.00101587]],1,[[0. 1. 0.]]
the other kike claimed soros wasn t prosecuted because he was too old bulan kike claims it was because he was too young shoah <number> electric boogaloo will not discriminate by age all are welcome,[[0.00582399 0.99417603]],[[0.20810929 0.9686447  0.07184274]],[[-0.02175426  0.23899078 -0.07938342]],1,[[0. 1. 0.]]
there is a link on washington examiner that suggests the dws it paki it aide has terrorist ties but the link will not post why washingtonexaminer com ron desantis fired debbie wasserman schultz aide may have terrorist ties article <number>,[[0.96364814 0.03635191]],[[0.0441075  0.14994629 0.5151074 ]],[[-0.04342719 -0.1683064  -0.00453   ]],0,[[0. 0. 0.]]
because fuck sargon remember what these little niglets grow in to hahahahaha,[[0.00633987 0.99366015]],[[0.5237905  0.38823506 0.565231  ]],[[0.02010462 0.15532689 0.00869948]],1,[[1. 0. 0.]]
he could have at least brought her some kfc and a <number> that street shitter is lucky the nigger did not have a chimpout and kill him 🙄,[[0.0041144  0.99588555]],[[0.9899805  0.16475007 0.68871415]],[[0.1520489  0.11992287 0.03126496]],1,[[1. 0. 0.]]
and to pour more gasoline on the fire now they are cracking down hard on internet hate speech which is arbitrary and capricious whenever a sand nigger bitches some poor brit going to jail and these muslim parasites have bitching down to an artform helmets people helmets,[[0.00380069 0.9961993 ]],[[0.9345778  0.9158962  0.82043564]],[[-0.00378667  0.13999544 -0.00625449]],1,[[1. 1. 1.]]
the wise nigger fantasy perpetuated on white america by the industry kikes meanwhile niggers cant even raise their own spawn raping <number> white women annually basically commiting all the violent crime in america,[[0.00324103 0.996759  ]],[[0.96438473 0.52377427 0.9360333 ]],[[0.06091398 0.14124528 0.03270487]],1,[[1. 1. 0.]]
your friendly moslem who went all allah akhbar today in france,[[0.87353545 0.1264646 ]],[[0.01199422 0.9735448  0.11543886]],[[ 0.27866802 -0.01149816 -0.05767785]],0,[[0. 1. 0.]]
went to chik fil e instead of normal quick line of cars things are slow instead of nice how can i serve u greeting its like can i take ur order nigger girl specifically asked <number> chik file a sauce get home no sauce mother fucker export all niggers,[[0.01143098 0.988569  ]],[[0.99310595 0.06607609 0.6261333 ]],[[0.1582997  0.14512199 0.02225772]],1,[[1. 0. 0.]]
you just wrote some nigger words like the low energy obsolete farm equipment you are boy,[[0.01867553 0.9813245 ]],[[0.98295456 0.01396118 0.23040709]],[[ 0.12276062  0.30125463 -0.00734082]],1,[[1. 0. 0.]]
if that was my mother that nigger would be on a slab at the morgue right now,[[0.00635808 0.9936419 ]],[[0.988518   0.03189468 0.61515945]],[[0.17292736 0.0814795  0.02009713]],1,[[1. 0. 0.]]
different caliber rifles being fired shoddy aim isis listed vegas as a city they are targeting if it looks like a dune coon and acts like a dune coon update it looks more like antifa but the female suspect did reportedly visit the me just last year,[[0.24325296 0.756747  ]],[[0.23086837 0.22825667 0.8134375 ]],[[0.00844275 0.23548667 0.00291438]],1,[[1. 0. 0.]]
he has not done anything he deported a couple beaners so what even barry did that,[[0.00556918 0.99443084]],[[0.8035981  0.5180239  0.20924824]],[[0.01826847 0.16738987 0.01297715]],1,[[1. 0. 0.]]
negro felon league ™ is for queers who like wearing the names of niggers on their backs while watching said apes throw balls around and watching poz laced commercials from corporate america,[[0.00471695 0.99528307]],[[0.8797039  0.73433775 0.32788786]],[[ 0.05580746  0.16560222 -0.00859292]],1,[[1. 1. 0.]]
additionally furries can also transmit the infectious disease of furfaggotry to others,[[0.01839335 0.9816066 ]],[[0.16581592 0.16080858 0.18951209]],[[0.03354781 0.24118674 0.01333863]],1,[[0. 0. 0.]]
<user> <user> <user> bring your canoe,[[0.9935607  0.00643935]],[[0.04998534 0.01049506 0.23465262]],[[ 0.14345743 -0.08264713 -0.03719731]],0,[[0. 0. 1.]]
2 3 andme is a strange choice for this sort of thing given that it primarily works at the behest of the israeli government to determine who is a kike or not,[[0.00882195 0.991178  ]],[[0.01179973 0.9955278  0.11618437]],[[-0.00237246  0.41868627 -0.01228865]],1,[[0. 1. 0.]]
fuck facebook staff and their muscum loving scum trash subhumans can you believe they disabled my account for <number> days for stating muslims lie and deceive <percent> of the time are they fucking serious i guess the truth really hurts fuck islam and all piss dinking goat fucking sand monkeys,[[0.00293054 0.99706954]],[[0.08412353 0.9946173  0.5995325 ]],[[-0.00759788  0.294249    0.00515688]],1,[[0. 1. 0.]]
you deserve death if you voted yes cruz that dumbass spic was destined to lose,[[0.00758347 0.9924165 ]],[[0.6176504 0.6791179 0.3058923]],[[0.01923996 0.17122968 0.00798198]],1,[[1. 0. 0.]]
beatles when i am <number> you mean london stabbings you got that wrong lennon who fucked a chink,[[0.01462581 0.9853742 ]],[[0.36087677 0.22070146 0.68046   ]],[[0.01941846 0.20767109 0.01115179]],1,[[0. 0. 0.]]
you niggers are absolutely disgusting,[[0.00480203 0.99519795]],[[0.79204285 0.17281087 0.25970054]],[[ 0.03968748  0.15865278 -0.00287288]],1,[[1. 0. 0.]]
<user> <user> <user> could you pray for all the kids who were raped by the priests and pastors over the past many decades maybe your jealous god could help his chosen flock keep there wieners in their pants god is not great,[[0.9852563  0.01474366]],[[0.01992485 0.08370415 0.18371558]],[[ 0.15735164 -0.05005739 -0.03956175]],0,[[0. 1. 0.]]
keep laughing faggot while the kikes send the niggers and muzzies and wetbacks to fuck you out of your country your fortune and your dignity,[[0.00327584 0.9967242 ]],[[0.55606073 0.9452402  0.3520821 ]],[[0.01891619 0.16260408 0.00373638]],1,[[1. 1. 0.]]
the best thing about roseanne <number> kosher cuckservative fake right destroyed <number> everyone js reminded that everyone is quietly aware that blacks are apes <number> white normies once again have something they love ruined and taken from them by nigger bullshit nfl starbucks hero movies videogames sitcoms anti black rage builds,[[0.00691486 0.99308515]],[[0.99059206 0.28018722 0.6444189 ]],[[0.21290253 0.14072566 0.03727423]],1,[[1. 1. 0.]]
portrait of a lady on fire screening in atlanta literally the day after i go back home to k*ntucky <censored> the universe really hates pretentious dykes i guess,[[0.1187624  0.88123757]],[[0.15469646 0.03083049 0.6234459 ]],[[-0.00233011  0.27287215  0.01809266]],1,[[0. 0. 1.]]
kid rock is not white not by my standard has a half niglet rapper son make mud babies and you will forever serve the muds,[[0.00765554 0.99234444]],[[0.98790926 0.10894778 0.67339134]],[[0.14179838 0.14821996 0.02703729]],1,[[1. 0. 0.]]
no such thing as lesbophobia you dumb ass dykes,[[0.02357036 0.9764297 ]],[[0.17250948 0.06892699 0.875438  ]],[[0.00806175 0.21329482 0.03649708]],1,[[0. 0. 1.]]
um why does she have her aclu red panties on her head is that a sharia law thing or just ugly mussie women trying to attract men for sex can sorta see why mussie men chasing goats <happy>,[[0.02580124 0.9741987 ]],[[0.26775146 0.4577265  0.973082  ]],[[0.01312906 0.1963546  0.01935071]],1,[[0. 1. 1.]]
<user> <user> <user> you said clinton sexual harassment in the white house was his personal business therefore not impeachable this congressional hearing video is on fb shame on you,[[0.99677616 0.00322387]],[[0.02084822 0.0110758  0.07370606]],[[ 0.14431901 -0.08951872 -0.07306285]],0,[[0. 0. 0.]]
<user> no he was some porch monkey who got shot by a mexican,[[0.75422066 0.2457794 ]],[[0.22653763 0.08892575 0.04277506]],[[ 0.1927944  -0.07984208 -0.05441422]],0,[[1. 0. 0.]]
pipe down nigger lover,[[0.00505681 0.9949432 ]],[[0.97000307 0.04026739 0.33792853]],[[ 0.06013372  0.20248397 -0.00136847]],1,[[1. 0. 0.]]
enjoy your kike faith,[[0.00417541 0.9958246 ]],[[0.01966287 0.99532217 0.10783744]],[[ 0.00380268  0.3382895  -0.00958965]],1,[[0. 1. 0.]]
if you mix red bull and white claw you get pink blaws,[[0.93834823 0.06165175]],[[0.12551495 0.01212971 0.39022484]],[[ 0.21036378 -0.09315681 -0.01507044]],0,[[0. 0. 0.]]
excuse me ma am does your nigger ass have a moment to speak about the day of the rope day of the rope,[[0.0159795 0.9840206]],[[0.9909113  0.01523081 0.28829455]],[[ 0.16725974  0.15927476 -0.01902605]],1,[[1. 0. 1.]]
<user> now how about all of the deaths attributed to illegal aliens in tx do the rest of the victims and the families that will never see loved one agains texas,[[0.9835005  0.01649955]],[[0.0280159  0.02129819 0.12914115]],[[ 0.06142987 -0.17650095 -0.11666613]],0,[[0. 0. 0.]]
i just thought about wtf i am doing and i am fucking retarded,[[0.8701454  0.12985456]],[[0.02029215 0.00972909 0.12988482]],[[ 0.28187686 -0.14656572 -0.04506532]],0,[[0. 0. 0.]]
hating beaners is so easy,[[0.00515904 0.9948409 ]],[[0.8749338  0.20476444 0.22463442]],[[0.03059879 0.18269302 0.00477861]],1,[[1. 0. 0.]]
im anti racism but pro normalizing words like faggot and nigger and kike and so on theyre just words lmao,[[0.01975383 0.98024625]],[[0.957042   0.13818343 0.18186875]],[[0.04571904 0.21114574 0.00282909]],1,[[1. 1. 0.]]
<user> oh my the niggers gonna be pissed,[[0.11870182 0.88129824]],[[0.7315003  0.04680763 0.12709378]],[[ 0.05474284  0.16077867 -0.04950476]],1,[[1. 0. 0.]]
lol i am not british that must be the turkish ottoman sandnigger seed floating around in your brain well that what happens when you fuck niggers,[[0.00354251 0.9964575 ]],[[0.9834684  0.44952592 0.39351523]],[[ 0.08699584  0.14711268 -0.00164685]],1,[[1. 0. 0.]]
they are allowing this beaner on ellen degenerate show because no one but thots and other assorted sjw wymyn watch that shit,[[0.00349211 0.9965078 ]],[[0.79492176 0.38396958 0.4643741 ]],[[0.02462796 0.13611042 0.00383555]],1,[[1. 1. 1.]]
once again i clean the community health center albeit they left the community for the burbs but want the people to come here anyway she bitched about treating a refugee from uganda because that country should be taking care of her sigh,[[0.8184304  0.18156964]],[[0.0783407  0.2685292  0.57777715]],[[ 0.20788123 -0.05647692 -0.01275557]],0,[[0. 0. 0.]]
you alt lite queers need to pick a side pro white or anti white race mixers and thot defenders deserve the rope,[[0.00596138 0.9940386 ]],[[0.84716463 0.63754916 0.63218945]],[[-0.0085516   0.16768914 -0.00727603]],1,[[0. 0. 1.]]
<user> <user> what an idiotic comment white people are not using these asians to sue harvard the asians are suing on their own initiative hypocrite hari also known as the neckless one is trying to insidiously scapegoat white people in his anti white bigotry,[[0.9949516  0.00504846]],[[0.19164942 0.01724162 0.02868147]],[[ 0.19070372 -0.0004074  -0.0270214 ]],0,[[1. 0. 0.]]
<user> <user> <user> u talking about the white supremacists neonazi sympathizer called djt 🤔,[[0.9930646  0.00693543]],[[0.05593694 0.03057944 0.08459563]],[[ 0.16821921 -0.02879607 -0.03432752]],0,[[0. 0. 0.]]
today one of my queer white students says i know they say vsco girls are defined by saying that the tea and and i oop but actually they are just appropriating black queer culture which is actually the tea sis train them up and watch them fly you all,[[0.86954224 0.13045771]],[[0.87873536 0.02346545 0.5143656 ]],[[ 0.25304615 -0.04179332 -0.01239128]],0,[[1. 0. 0.]]
perverted old kike drooling over yentas sad,[[0.00343085 0.99656916]],[[0.04361188 0.99574643 0.18766807]],[[0.05158978 0.27570704 0.01193587]],1,[[0. 1. 0.]]
there is a yid involved in very single breaking story out of the white house it interesting that jews are over represented in our government but can somehow avoid blame for any failures in governance it as if the media is somehow colluding to absolve them of any guilt,[[0.02499187 0.97500813]],[[0.04568307 0.99222565 0.26437688]],[[ 0.0414811   0.27574718 -0.01099821]],1,[[0. 1. 0.]]
a mudshark is a white woman who is only attracted to black men a thot is a whore every mudshark is a thot but not every thot is a mudshark,[[0.00401941 0.9959806 ]],[[0.88654053 0.2290399  0.98258317]],[[ 0.03146185  0.18615681 -0.00288728]],1,[[1. 0. 1.]]
<user> i do not think i would stay with a men who raped and took advantage of woman,[[0.9892727  0.01072737]],[[0.01163217 0.0258629  0.8671555 ]],[[ 0.20055175 -0.065733    0.00953986]],0,[[0. 0. 0.]]
actually trapsoul is still that nigga still still,[[0.9876973  0.01230268]],[[0.3310876  0.00709039 0.34903744]],[[ 0.22195525 -0.02533572 -0.01194445]],0,[[0. 0. 0.]]
why are they bringin all these moslem niggers in our countries and puttin concrete barriers police and military around our public places and events would not it be easier to just put them in cages,[[0.00802163 0.9919784 ]],[[0.74955994 0.92318845 0.4626712 ]],[[0.01916915 0.20246606 0.00660699]],1,[[1. 1. 0.]]
i know my previous post was pretty cucked i believe in enforcing the law but this guy was a good kid why can not we just deport the shitskin muzzles instead that why i mainly voted for trump,[[0.00399483 0.9960051 ]],[[0.2954105  0.9564894  0.27165642]],[[0.0186394  0.16437563 0.00290514]],1,[[0. 1. 0.]]
do dykes keep their nails short,[[0.39823505 0.6017649 ]],[[0.06626104 0.02067173 0.906393  ]],[[-0.04881423  0.35251516  0.06006208]],1,[[0. 0. 0.]]
my ching chong is so cutie,[[0.00818231 0.9918177 ]],[[0.5950976  0.26456186 0.23443703]],[[ 0.03300465  0.20062205 -0.00270151]],1,[[0. 0. 0.]]
exactly no mercy for the shameless unapologetic unabashed nigger fucking e slut cam whore how can you expect to be forgiven if you are unrepentant <user> you owe us bigly we made you and we can break you,[[0.00855736 0.9914426 ]],[[0.96042454 0.05406058 0.8236311 ]],[[0.05120567 0.22050177 0.01841567]],1,[[1. 0. 1.]]
labour concillor in telford more concerned about someones words on twitter than paki moslem gangs raping white children,[[0.03156252 0.96843743]],[[0.4092262  0.9759045  0.12296855]],[[0.02790157 0.27562317 0.01650268]],1,[[0. 1. 0.]]
squadron leader gibson raf won a vc on the dam buster raid he had a labrador called nigger they told us not to call them that anymore so we called them gibson dog or gibson for short,[[0.01347433 0.98652565]],[[0.9824347  0.14875114 0.24983428]],[[0.04083158 0.20945688 0.00585017]],1,[[1. 0. 0.]]
teen choice blackpink choice international artist <user>,[[0.994245   0.00575504]],[[0.21099815 0.00545066 0.0728056 ]],[[ 0.16546305 -0.11127069 -0.0895616 ]],0,[[0. 0. 0.]]
why are the most extreme feminists always lesbian dykes trying to be guys anyway,[[0.07147652 0.9285235 ]],[[0.08354767 0.02863645 0.9723121 ]],[[-0.02086162  0.3052362   0.10061732]],1,[[0. 0. 1.]]
<user> where were you hypocrites ur democracy human rights etc etc when kashmiri hindus were being butchered looted raped forced to flee their homeland n become refugees in their own motherland,[[0.99118525 0.00881474]],[[0.02001902 0.08505312 0.06180382]],[[ 0.15526465 -0.04071829 -0.06628168]],0,[[0. 0. 0.]]
why does it smell like black sesame mochi,[[0.97005874 0.02994131]],[[0.12809254 0.1369408  0.2847117 ]],[[ 0.14700432 -0.09050111 -0.06395322]],0,[[0. 0. 0.]]
furthermore they keep showing us as like videos full of white asb kids which is so time deaf for an area that is <percent> non white,[[0.75251025 0.2474898 ]],[[0.9499948  0.02838057 0.283644  ]],[[ 0.25925943 -0.03573724 -0.00615921]],0,[[0. 0. 0.]]
the mcu wants what disaster report by matthew del tubo has,[[0.99314535 0.00685467]],[[0.0184368  0.03711741 0.05370199]],[[ 0.11543788 -0.07218182 -0.09038679]],0,[[0. 0. 0.]]
who the fuck is goatfucker hamed halts maul du beschissener hinterlader,[[0.02217322 0.97782683]],[[0.21562377 0.6749361  0.5568627 ]],[[0.03938211 0.22438987 0.00683412]],1,[[0. 0. 0.]]
and was marred by reported irregularities including ballot box stuffing and intimidation of opposition polling agents and voters during the campaign leading up to the election there were credible reports of harassment intimidation arbitrary arrests and violence that made,[[0.9877493  0.01225077]],[[0.09059297 0.02031984 0.61262107]],[[ 0.13773084 -0.1562813   0.00199412]],0,[[0. 0. 0.]]
note no nigger was harmed during the making of this film,[[0.01350837 0.9864916 ]],[[0.9853285  0.01381288 0.11439164]],[[ 0.11365897  0.24935977 -0.01951786]],1,[[1. 0. 0.]]
fell outta love and found a boss bitch,[[0.99229336 0.00770669]],[[0.07734838 0.00539597 0.920486  ]],[[ 0.1648034  -0.14211814  0.05862009]],0,[[0. 0. 1.]]
do not be aggressive says the nigger mandela fuck that,[[0.02066835 0.9793316 ]],[[0.9911641  0.00829287 0.6562028 ]],[[0.15002003 0.3500158  0.02345187]],1,[[1. 0. 0.]]
i think it time for another hindu kush only thing the muzzies ever did that was worth a shit was genocide about <number> mil of <user> coethnics i have been in some valleys full of skulls up there beautiful,[[0.00334247 0.9966575 ]],[[0.02764845 0.9921915  0.24650736]],[[0.11917547 0.13770717 0.02177867]],1,[[0. 1. 0.]]
mead mutton and a proper medieval mace ball we can take a roman bath afterwards as if you do not wash greasy kike blood off within a certain period of time the parasites they carry are very hard to dislodge <wink>,[[0.00361553 0.9963845 ]],[[0.13495722 0.98708725 0.1550019 ]],[[-0.04379355  0.2385692  -0.05293042]],1,[[0. 1. 0.]]
ok there white knight are you thirsty for her nigger cum drenched cunt,[[0.01684993 0.98315006]],[[0.9785655  0.06892907 0.94080746]],[[0.05592946 0.27699682 0.03227709]],1,[[1. 0. 1.]]
look at dis ugly dothaid kike beak look like its mouf wuz made fo suckin dat babydick <user>,[[0.00466843 0.9953316 ]],[[0.10372382 0.99595684 0.431511  ]],[[-0.00475034  0.23604836  0.00104243]],1,[[0. 1. 0.]]
lol of coursh coz it normal to believe in perverted kike holoporn right fuck off faggot,[[0.00309648 0.9969035 ]],[[0.06420976 0.9925978  0.5446401 ]],[[0.06388161 0.15831086 0.00333277]],1,[[0. 1. 0.]]
also yes i did bring a whole ass avacado to work and sliced it up because i am a decadent bitch,[[0.98894286 0.01105715]],[[0.05726386 0.00726335 0.52402973]],[[ 0.21279153 -0.08199169 -0.02294616]],0,[[0. 0. 0.]]
knock off a cracker for callin me towelhead,[[0.19415505 0.8058449 ]],[[0.56199807 0.01235923 0.49713323]],[[0.00791277 0.25178832 0.00978665]],1,[[0. 0. 0.]]
ugh all the niggers are back on campus,[[0.02682908 0.97317094]],[[0.9021126  0.01749605 0.32727438]],[[ 0.10996963  0.13189185 -0.01907144]],1,[[1. 0. 0.]]
fun fact did you know kardashian is armenian for nigger lover,[[0.00522213 0.9947779 ]],[[0.9441051  0.41052046 0.06084   ]],[[ 0.05788524  0.18912065 -0.0173161 ]],1,[[1. 0. 0.]]
take a shot every time you see an asian named band full of white people,[[0.97073144 0.02926856]],[[0.54899305 0.02572952 0.09822362]],[[ 0.19899487 -0.02514694 -0.01657674]],0,[[0. 0. 0.]]
the person i am closing with called in sick then texted me happy birthday 😂 😅 fuck you to bitch,[[0.994031   0.00596898]],[[0.0380497  0.00355543 0.7503167 ]],[[ 0.19237515 -0.11061622 -0.0054779 ]],0,[[0. 0. 1.]]
plus there a whole modern twist with white racist nationalist terrorists conspiring with forces they do not understand from fear of change from this wave of refugees,[[0.9769771  0.02302283]],[[0.44148022 0.07288796 0.57644266]],[[ 0.20680845 -0.04017499 -0.01624178]],0,[[0. 0. 0.]]
i can just see it it is the division but i do not see why there must be a connection forced i do not feel connected to american women and i know majority of men do not we all either gonna wind up happily alone or married to non westernized women,[[0.9311055 0.0688945]],[[0.19118862 0.09669099 0.97349113]],[[ 0.20767856 -0.06648217  0.03726213]],0,[[0. 0. 0.]]
anime culture has created a new generation of weeboos where black and white kids gonna have ching chong names cuz their stupid ass parents like ching chong cartoons,[[0.02744386 0.9725562 ]],[[0.9423631  0.13811238 0.22585909]],[[ 0.04528539  0.2320514  -0.00623897]],1,[[0. 0. 0.]]
was engels a kike,[[0.00327942 0.9967206 ]],[[0.10778531 0.99107367 0.16753381]],[[-0.01933132  0.22564052 -0.03670053]],1,[[0. 1. 0.]]
<number> in <number> women <number> in <number> men <percent> of lesbian women <percent> of bisexual women <percent> of gay men <percent> of bisexual men no data on nb and trans women are being murdered it statistically impossible for you not to know someone who has experienced domestic violence,[[0.98094994 0.01905008]],[[0.04486152 0.02392395 0.8479563 ]],[[ 0.04852759 -0.14821494  0.07335968]],0,[[0. 0. 0.]]
the muzzie loving natsoc get the sword,[[0.01880886 0.9811911 ]],[[0.29787487 0.7552868  0.0216883 ]],[[ 0.03709118  0.26472902 -0.00501304]],1,[[0. 1. 0.]]
got a lot of them niggers you better and it active yeah popping willies on the wall i am saying,[[0.14155416 0.8584458 ]],[[0.7979865  0.07653762 0.22520624]],[[ 0.02041706  0.24893375 -0.00640555]],1,[[1. 0. 0.]]
i just asked my fam if im dating a non muslim dude they were assuming that i got <number> lolol ketawa ku dulu,[[0.9615872  0.03841279]],[[0.06403909 0.76989543 0.15581001]],[[ 0.23497522 -0.01474781 -0.02894636]],0,[[0. 0. 0.]]
cuh cuh cuh communism nah pass this nigger worked too hard for handouts i prefer the uncertainty the risk the gasp entropy of capitalistic competition,[[0.01451563 0.9854843 ]],[[0.98645234 0.02766827 0.15011132]],[[ 0.14947875  0.14091513 -0.04926895]],1,[[1. 0. 0.]]
